block_name,cluster,label,rf_prediction,rf_confidence,final_prediction,solar_mean,wind_mean,pop_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct,district
Jasipur,3,SOLAR,SOLAR,0.9969157398791252,SOLAR,4.165453,3.45422,129.768,9.497219,39.820379,98.611381,60.6987,Mayurbhanj
Jatani,0,HYBRID,HYBRID,0.9436389968449668,HYBRID,4.063782,4.71985,681.1388,0.956334,7.700078,15.92337,93.4431,Khurda
Jeypore,1,SOLAR,SOLAR,0.9815952467125924,SOLAR,4.336145,4.299246,443.5731,2.459601,5.594263,16.176735,78.6703,Koraput
Jharabandh,2,SOLAR,SOLAR,0.9308299718128928,SOLAR,3.881002,3.782784,216.6362,2.701407,105.759878,38.02161,76.5354,Baragarh
Jharigaon,1,SOLAR,SOLAR,0.8360585325592101,SOLAR,4.300933,4.87809,205.8298,5.364302,59.51784,55.025749,84.17710000000001,Nawarangpur
Jharsuguda,1,SOLAR,SOLAR,0.974546392388246,SOLAR,4.253388,3.870206,648.9197,2.316469,3.430283,12.028712,72.8637,Jharsuguda
Jhumpura,1,SOLAR,SOLAR,0.9919651703764388,SOLAR,4.194915,3.520777,258.4442,7.843185,21.368337,40.065754,88.5463,Keonjhar
Joda,1,SOLAR,SOLAR,0.9780030902868704,SOLAR,3.972598,3.496221,374.3783,5.669194,19.244252,27.6131,70.2086,Keonjhar
Jujumura,1,SOLAR,SOLAR,0.991634119810404,SOLAR,4.198508,3.646611,183.3506,1.493864,26.434224,37.861676,81.8447,Sambalpur
Junagarh,1,SOLAR,SOLAR,0.9951319193925424,SOLAR,4.261841,4.058657,357.5501,6.245594,13.290848,41.345699,80.292,Kalahandi
K.Singpur,3,SOLAR,SOLAR,0.9875490375459218,SOLAR,4.136251,3.717707,127.596,3.084189,29.963321,63.244303,49.3335,Rayagada
Kabisuryanagar,1,SOLAR,SOLAR,0.9148992896911085,SOLAR,4.114835,3.725989,815.196,1.324663,14.969997,36.122813,61.6906,Ganjam
Kakatpur,0,HYBRID,HYBRID,0.9689511573473036,HYBRID,3.952258,5.556228,556.3128,0.675192,73.123774,20.041145,78.9431,Puri
Kalampur,1,SOLAR,SOLAR,0.9768247606305704,SOLAR,4.237349,3.759139,369.9964,3.071116,8.021814,39.362641,86.4062,Kalahandi
Kalimela,3,SOLAR,SOLAR,0.9845102146348468,SOLAR,4.153817,3.308426,117.167,2.889877,61.457751,66.706158,67.1995,Malkanagiri
Kamakhyanagar,1,SOLAR,SOLAR,0.9834513456524882,SOLAR,4.107057,3.472306,308.2968,4.193004,20.464161,35.422965,82.459,Dhenkanal
Kanas,0,HYBRID,HYBRID,0.90361006129608,HYBRID,4.098066,5.087283,761.5181,0.75112,26.027883,32.676733,75.5864,Puri
Kaniha,1,SOLAR,SOLAR,0.988856976958301,SOLAR,4.148976,3.193366,209.492,4.482622,11.249475,22.100449,73.16460000000001,Anugul
Kankadahad,1,SOLAR,SOLAR,0.9950156887943098,SOLAR,4.118078,2.999822,136.3883,9.389009,30.344587,35.354407,77.9598,Dhenkanal
Kantamala,3,SOLAR,SOLAR,0.9877442702086076,SOLAR,4.233087,3.918025,187.1997,3.793791,58.91504,74.78775,77.0193,Boudh
Kantapada,0,HYBRID,HYBRID,0.9827103654629687,HYBRID,4.054466,4.910918,801.9218,0.963117,24.465659,28.143789,72.54260000000001,Cuttack
Kaptipada,3,SOLAR,SOLAR,0.9615159316738964,SOLAR,4.044575,3.573821,284.1348,7.75283,107.689433,44.22655,83.768,Mayurbhanj
Karanjia,3,SOLAR,SOLAR,0.9935473108577654,SOLAR,4.179084,3.342648,160.0073,18.682719,46.348252,56.046675,74.7744,Mayurbhanj
Karlamunda,1,SOLAR,SOLAR,0.9839109696313416,SOLAR,4.25681,3.947347,233.9031,3.134175,22.778639,58.484702,90.7783,Kalahandi
Kashipur,1,HYBRID,HYBRID,0.7784527578142756,HYBRID,4.227272,5.163309,121.3578,3.147444,23.083918,46.034832,41.0814,Rayagada
Kasinagar,3,SOLAR,SOLAR,0.9623645163102502,SOLAR,4.133435,3.366221,246.4155,1.584831,9.286752,78.068708,34.6315,Gajapati
Kendrapada,0,HYBRID,HYBRID,0.9643590583468988,HYBRID,4.041177,5.042516,1078.5618,2.606954,11.574109,19.394763,89.3261,Kendrapada
Keonjhar Sadar,1,SOLAR,SOLAR,0.9726205492040936,SOLAR,4.180281,3.568618,403.4714,4.053479,19.225645,24.995769,90.6141,Keonjhar
Kesinga,1,SOLAR,SOLAR,0.9766627078824864,SOLAR,4.262068,3.82419,282.3349,4.131382,6.302033,29.908972,82.7537,Kalahandi
Khaira,1,SOLAR,SOLAR,0.9268598660235003,SOLAR,4.081148,3.628004,560.7586,3.832034,42.321286,13.050611,98.5566,Baleswar
Khairput,1,SOLAR,SOLAR,0.984604966206907,SOLAR,4.241271,3.383813,116.9287,2.060053,17.425069,48.540208,54.445,Malkanagiri
Khajuripada,3,SOLAR,SOLAR,0.9849545403454918,SOLAR,4.171048,4.151902,102.6362,9.195307,24.292634,48.931105,40.3994,Kandhamal
